date,key_change,taux,x_vers_euro
2023-08-11,USD,1.1004,0.9087604507451835
2023-08-11,JPY,158.97,0.006290495061961376
2023-08-10,USD,1.1019,0.9075233687267447
2023-08-10,JPY,158.43,0.006311935870731553
2023-08-09,USD,1.0968,0.9117432530999271
2023-08-09,JPY,157.35,0.006355258976803305
2023-08-08,USD,1.0944,0.9137426900584795
2023-08-08,JPY,156.55,0.006387735547748323
2023-08-07,USD,1.0984,0.9104151493080844
2023-08-07,JPY,156.21,0.006401638819537802
2023-08-04,USD,1.0946,0.913575735428467
2023-08-04,JPY,156.11,0.006405739542630196
2023-08-03,USD,1.0932,0.9147457006952068
2023-08-03,JPY,156.24,0.006400409626216077
2023-08-02,USD,1.0985,0.9103322712790168
2023-08-02,JPY,156.88,0.006374298827129016
2023-08-01,USD,1.097,0.9115770282588879
2023-08-01,JPY,156.85,0.006375518010838381
2023-07-31,USD,1.1023,0.9071940488070398
2023-07-31,JPY,156.73,0.006380399413003254
2023-07-28,USD,1.101,0.9082652134423251
2023-07-28,JPY,153.35,0.006521030322791001
2023-07-27,USD,1.1125,0.898876404494382
2023-07-27,JPY,155.95,0.006412311638345624
2023-07-26,USD,1.1059,0.9042408897730354
2023-07-26,JPY,155.3,0.00643915003219575
2023-07-25,USD,1.1051,0.904895484571532
2023-07-25,JPY,156.18,0.006402868485081316
2023-07-24,USD,1.1096,0.9012256669069936
2023-07-24,JPY,156.47,0.006391001469930338
2023-07-21,USD,1.1123,0.8990380293086397
2023-07-21,JPY,157.63,0.006343970056461334
2023-07-20,USD,1.1197,0.8930963650977941
2023-07-20,JPY,156.35,0.0063959066197633516
2023-07-19,USD,1.1222,0.8911067545891997
2023-07-19,JPY,156.76,0.006379178361826997
2023-07-18,USD,1.1255,0.8884940026654821
2023-07-18,JPY,155.4,0.006435006435006435
2023-07-17,USD,1.123,0.8904719501335708
2023-07-17,JPY,155.38,0.0064358347277641914
2023-07-14,USD,1.1221,0.8911861687906603
2023-07-14,JPY,155.51,0.006430454633142564
2023-07-13,USD,1.1182,0.8942944017170452
2023-07-13,JPY,154.84,0.006458279514337381
2023-07-12,USD,1.1022,0.9072763563781527
2023-07-12,JPY,153.84,0.006500260010400416
2023-07-11,USD,1.0989,0.91000091000091
2023-07-11,JPY,154.27,0.006482141699617553
2023-07-10,USD,1.0956,0.9127418765972983
2023-07-10,JPY,155.73,0.006421370320426379
2023-07-07,USD,1.0888,0.9184423218221895
2023-07-07,JPY,156.01,0.006409845522722903
2023-07-06,USD,1.0899,0.9175153683824203
2023-07-06,JPY,156.57,0.0063869195886823785
2023-07-05,USD,1.0879,0.9192021325489474
2023-07-05,JPY,157.26,0.006358896095637797
2023-07-04,USD,1.0895,0.9178522257916476
2023-07-04,JPY,157.34,0.006355662895640015
2023-07-03,USD,1.0899,0.9175153683824203
2023-07-03,JPY,157.81,0.006336734047272036
2023-06-30,USD,1.0866,0.9203018590097551
2023-06-30,JPY,157.16,0.006362942224484602
2023-06-29,USD,1.0938,0.9142439202779301
2023-06-29,JPY,157.74,0.006339546088500063
2023-06-28,USD,1.0938,0.9142439202779301
2023-06-28,JPY,157.82,0.006336332530731213
2023-06-27,USD,1.0951,0.9131586156515387
2023-06-27,JPY,157.14,0.006363752068219423
2023-06-26,USD,1.0918,0.9159186664224216
2023-06-26,JPY,156.41,0.006393453104021482
2023-06-23,USD,1.0884,0.9187798603454612
2023-06-23,JPY,155.84,0.006416837782340862
2023-06-22,USD,1.0985,0.9103322712790168
2023-06-22,JPY,156.05,0.006408202499198974
2023-06-21,USD,1.0923,0.9154994049253867
